zip,primary_city,county
46001,Alexandria,Madison County
46011,Anderson,Madison County
46012,Anderson,Madison County
46013,Anderson,Madison County
46014,Anderson,Madison County
46015,Anderson,Madison County
46016,Anderson,Madison County
46017,Anderson,Madison County
46018,Anderson,Madison County
46030,Arcadia,Hamilton County
46031,Atlanta,Hamilton County
46032,Carmel,Hamilton County
46033,Carmel,Hamilton County
46034,Cicero,Hamilton County
46035,Colfax,Clinton County
46036,Elwood,Madison County
46037,Fishers,Hamilton County
46038,Fishers,Hamilton County
46039,Forest,Clinton County
46040,Fortville,Hamilton County
46041,Frankfort,Clinton County
46044,Frankton,Madison County
46045,Goldsmith,Tipton County
46047,Hobbs,Tipton County
46048,Ingalls,Madison County
46049,Kempton,Tipton County
46050,Kirklin,Clinton County
46051,Lapel,Madison County
46052,Lebanon,Boone County
46055,Mccordsville,Hancock County
46056,Markleville,Madison County
46057,Michigantown,Clinton County
46058,Mulberry,Clinton County
46060,Noblesville,Hamilton County
46061,Noblesville,Hamilton County
46062,Noblesville,Hamilton County
46063,Orestes,Madison County
46064,Pendleton,Madison County
46065,Rossville,Clinton County
46067,Sedalia,Clinton County
46068,Sharpsville,Tipton County
46069,Sheridan,Hamilton County
46070,Summitville,Madison County
46071,Thorntown,Boone County
46072,Tipton,Tipton County
46074,Westfield,Hamilton County
46075,Whitestown,Boone County
46076,Windfall,Tipton County
46077,Zionsville,Boone County
46082,Carmel,Hamilton County
46085,Fishers,Hamilton County
46102,Advance,Boone County
46103,Amo,Hendricks County
46104,Arlington,Rush County
46105,Bainbridge,Putnam County
46106,Bargersville,Johnson County
46107,Beech Grove,Marion County
46110,Boggstown,Shelby County
46111,Brooklyn,Morgan County
46112,Brownsburg,Hendricks County
46113,Camby,Marion County
46115,Carthage,Rush County
46117,Charlottesville,Hancock County
46118,Clayton,Hendricks County
46120,Cloverdale,Putnam County
46121,Coatesville,Putnam County
46122,Danville,Hendricks County
46123,Avon,Hendricks County
46124,Edinburgh,Johnson County
46125,Eminence,Morgan County
46126,Fairland,Shelby County
46127,Falmouth,Rush County
46128,Fillmore,Putnam County
46129,Finly,Hancock County
46130,Fountaintown,Shelby County
46131,Franklin,Johnson County
46133,Glenwood,Fayette County
46135,Greencastle,Putnam County
46140,Greenfield,Hancock County
46142,Greenwood,Johnson County
46143,Greenwood,Johnson County
46144,Gwynneville,Shelby County
46146,Homer,Rush County
46147,Jamestown,Boone County
46148,Knightstown,Henry County
46149,Lizton,Hendricks County
46150,Manilla,Rush County
46151,Martinsville,Morgan County
46154,Maxwell,Hancock County
46155,Mays,Rush County
46156,Milroy,Rush County
46157,Monrovia,Morgan County
46158,Mooresville,Morgan County
46160,Morgantown,Brown County
46161,Morristown,Shelby County
46162,Needham,Johnson County
46163,New Palestine,Hancock County
46164,Nineveh,Brown County
46165,North Salem,Hendricks County
46166,Paragon,Morgan County
46167,Pittsboro,Hendricks County
46168,Plainfield,Hendricks County
46170,Putnamville,Putnam County
46171,Reelsville,Putnam County
46172,Roachdale,Putnam County
46173,Rushville,Rush County
46175,Russellville,Putnam County
46176,Shelbyville,Shelby County
46180,Stilesville,Hendricks County
46181,Trafalgar,Johnson County
46182,Waldron,Shelby County
46183,West Newton,Marion County
46184,Whiteland,Johnson County
46186,Wilkinson,Hancock County
46197,Plainfield,
46201,Indianapolis,Marion County
46202,Indianapolis,Marion County
46203,Indianapolis,Marion County
46204,Indianapolis,Marion County
46205,Indianapolis,Marion County
46206,Indianapolis,Marion County
46207,Indianapolis,Marion County
46208,Indianapolis,Marion County
46209,Indianapolis,Marion County
46210,Indianapolis,
46211,Indianapolis,Marion County
46213,Indianapolis,
46214,Indianapolis,Marion County
46216,Indianapolis,Marion County
46217,Indianapolis,Marion County
46218,Indianapolis,Marion County
46219,Indianapolis,Marion County
46220,Indianapolis,Marion County
46221,Indianapolis,Marion County
46222,Indianapolis,Marion County
46223,Indianapolis,Marion County
46224,Indianapolis,Marion County
46225,Indianapolis,Marion County
46226,Indianapolis,Marion County
46227,Indianapolis,Marion County
46228,Indianapolis,Marion County
46229,Indianapolis,Marion County
46230,Indianapolis,Marion County
46231,Indianapolis,Marion County
46234,Indianapolis,Marion County
46235,Indianapolis,Marion County
46236,Indianapolis,Marion County
46237,Indianapolis,Marion County
46239,Indianapolis,Marion County
46240,Indianapolis,Marion County
46241,Indianapolis,Marion County
46242,Indianapolis,Marion County
46244,Indianapolis,Marion County
46247,Indianapolis,Marion County
46249,Indianapolis,Marion County
46250,Indianapolis,Marion County
46251,Indianapolis,Marion County
46253,Indianapolis,Marion County
46254,Indianapolis,Marion County
46255,Indianapolis,Marion County
46256,Indianapolis,Marion County
46259,Indianapolis,Marion County
46260,Indianapolis,Marion County
46262,Indianapolis,Marion County
46266,Indianapolis,Marion County
46268,Indianapolis,Marion County
46274,Indianapolis,Marion County
46275,Indianapolis,Marion County
46277,Indianapolis,Marion County
46278,Indianapolis,Marion County
46280,Indianapolis,Hamilton County
46282,Indianapolis,Marion County
46283,Indianapolis,Marion County
46285,Indianapolis,Marion County
46288,Indianapolis,
46290,Indianapolis,Hamilton County
46291,Indianapolis,Marion County
46295,Indianapolis,Marion County
46296,Indianapolis,Marion County
46298,Indianapolis,Marion County
46301,Beverly Shores,Porter County
46302,Boone Grove,Porter County
46303,Cedar Lake,Lake County
46304,Chesterton,Porter County
46307,Crown Point,Lake County
46308,Crown Point,Lake County
46310,Demotte,Jasper County
46311,Dyer,Lake County
46312,East Chicago,Lake County
46319,Griffith,Lake County
46320,Hammond,Lake County
46321,Munster,Lake County
46322,Highland,Lake County
46323,Hammond,Lake County
46324,Hammond,Lake County
46325,Hammond,Lake County
46327,Hammond,Lake County
46340,Hanna,LaPorte County
46341,Hebron,Porter County
46342,Hobart,Lake County
46345,Kingsbury,LaPorte County
46346,Kingsford Heights,LaPorte County
46347,Kouts,Porter County
46348,La Crosse,LaPorte County
46349,Lake Village,Newton County
46350,La Porte,LaPorte County
46352,La Porte,La Porte County
46355,Leroy,Lake County
46356,Lowell,Lake County
46360,Michigan City,LaPorte County
46361,Michigan City,La Porte County
46365,Mill Creek,LaPorte County
46366,North Judson,Starke County
46368,Portage,Porter County
46371,Rolling Prairie,LaPorte County
46372,Roselawn,Newton County
46373,Saint John,Lake County
46374,San Pierre,Starke County
46375,Schererville,Lake County
46376,Schneider,Lake County
46377,Shelby,Lake County
46379,Sumava Resorts,Newton County
46380,Tefft,Jasper County
46381,Thayer,Newton County
46382,Union Mills,LaPorte County
46383,Valparaiso,Porter County
46384,Valparaiso,Porter County
46385,Valparaiso,Porter County
46390,Wanatah,LaPorte County
46391,Westville,LaPorte County
46392,Wheatfield,Jasper County
46393,Wheeler,Porter County
46394,Whiting,Lake County
46401,Gary,Lake County
46402,Gary,Lake County
46403,Gary,Lake County
46404,Gary,Lake County
46405,Lake Station,Lake County
46406,Gary,Lake County
46407,Gary,Lake County
46408,Gary,Lake County
46409,Gary,Lake County
46410,Merrillville,Lake County
46411,Merrillville,Lake County
46501,Argos,Marshall County
46502,Atwood,Kosciusko County
46504,Bourbon,Marshall County
46506,Bremen,Marshall County
46507,Bristol,Elkhart County
46508,Burket,Kosciusko County
46510,Claypool,Kosciusko County
46511,Culver,Marshall County
46513,Donaldson,Marshall County
46514,Elkhart,Elkhart County
46515,Elkhart,Elkhart County
46516,Elkhart,Elkhart County
46517,Elkhart,Elkhart County
46524,Etna Green,Kosciusko County
46526,Goshen,Elkhart County
46527,Goshen,Elkhart County
46528,Goshen,Elkhart County
46530,Granger,St. Joseph County
46531,Grovertown,Starke County
46532,Hamlet,Starke County
46534,Knox,Starke County
46536,Lakeville,St. Joseph County
46537,Lapaz,Marshall County
46538,Leesburg,Kosciusko County
46539,Mentone,Kosciusko County
46540,Middlebury,Elkhart County
46542,Milford,Kosciusko County
46543,Millersburg,Elkhart County
46544,Mishawaka,St. Joseph County
46545,Mishawaka,St. Joseph County
46546,Mishawaka,St. Joseph County
46550,Nappanee,Elkhart County
46552,New Carlisle,St. Joseph County
46553,New Paris,Elkhart County
46554,North Liberty,St. Joseph County
46555,North Webster,Kosciusko County
46556,Notre Dame,St. Joseph County
46561,Osceola,St. Joseph County
46562,Pierceton,Kosciusko County
46563,Plymouth,Marshall County
46565,Shipshewana,LaGrange County
46567,Syracuse,Kosciusko County
46570,Tippecanoe,Marshall County
46571,Topeka,LaGrange County
46572,Tyner,Marshall County
46573,Wakarusa,Elkhart County
46574,Walkerton,St. Joseph County
46580,Warsaw,Kosciusko County
46581,Warsaw,Kosciusko County
46582,Warsaw,Kosciusko County
46590,Winona Lake,Kosciusko County
46595,Wyatt,St. Joseph County
46601,South Bend,St. Joseph County
46604,South Bend,St. Joseph County
46613,South Bend,St. Joseph County
46614,South Bend,St. Joseph County
46615,South Bend,St. Joseph County
46616,South Bend,St. Joseph County
46617,South Bend,St. Joseph County
46619,South Bend,St. Joseph County
46620,South Bend,St. Joseph County
46624,South Bend,St. Joseph County
46626,South Bend,St. Joseph County
46628,South Bend,St. Joseph County
46634,South Bend,St. Joseph County
46635,South Bend,St. Joseph County
46637,South Bend,St. Joseph County
46660,South Bend,St. Joseph County
46680,South Bend,St. Joseph County
46699,South Bend,St. Joseph County
46701,Albion,Noble County
46702,Andrews,Huntington County
46703,Angola,Steuben County
46704,Arcola,Allen County
46705,Ashley,DeKalb County
46706,Auburn,DeKalb County
46710,Avilla,Noble County
46711,Berne,Adams County
46713,Bippus,Huntington County
46714,Bluffton,Wells County
46721,Butler,DeKalb County
46723,Churubusco,Whitley County
46725,Columbia City,Whitley County
46730,Corunna,DeKalb County
46731,Craigville,Wells County
46732,Cromwell,Noble County
46733,Decatur,Adams County
46737,Fremont,Steuben County
46738,Garrett,DeKalb County
46740,Geneva,Adams County
46741,Grabill,Allen County
46742,Hamilton,Steuben County
46743,Harlan,Allen County
46745,Hoagland,Allen County
46746,Howe,LaGrange County
46747,Hudson,Steuben County
46748,Huntertown,Allen County
46750,Huntington,Huntington County
46755,Kendallville,Noble County
46759,Keystone,Wells County
46760,Kimmell,Noble County
46761,Lagrange,LaGrange County
46763,Laotto,Noble County
46764,Larwill,Whitley County
46765,Leo,Allen County
46766,Liberty Center,Wells County
46767,Ligonier,Noble County
46769,Linn Grove,Adams County
46770,Markle,Wells County
46771,Mongo,LaGrange County
46772,Monroe,Adams County
46773,Monroeville,Allen County
46774,New Haven,Allen County
46776,Orland,Steuben County
46777,Ossian,Wells County
46778,Petroleum,Wells County
46779,Pleasant Lake,Steuben County
46780,Pleasant Mills,Adams County
46781,Poneto,Wells County
46782,Preble,Adams County
46783,Roanoke,Huntington County
46784,Rome City,Noble County
46785,Saint Joe,DeKalb County
46786,South Milford,LaGrange County
46787,South Whitley,Whitley County
46788,Spencerville,Allen County
46789,Stroh,Lagrange County
46791,Uniondale,Wells County
46792,Warren,Huntington County
46793,Waterloo,DeKalb County
46794,Wawaka,Noble County
46795,Wolcottville,LaGrange County
46796,Wolflake,Noble County
46797,Woodburn,Allen County
46798,Yoder,Allen County
46799,Zanesville,Wells County
46801,Fort Wayne,Allen County
46802,Fort Wayne,Allen County
46803,Fort Wayne,Allen County
46804,Fort Wayne,Allen County
46805,Fort Wayne,Allen County
46806,Fort Wayne,Allen County
46807,Fort Wayne,Allen County
46808,Fort Wayne,Allen County
46809,Fort Wayne,Allen County
46814,Fort Wayne,Allen County
46815,Fort Wayne,Allen County
46816,Fort Wayne,Allen County
46818,Fort Wayne,Allen County
46819,Fort Wayne,Allen County
46825,Fort Wayne,Allen County
46835,Fort Wayne,Allen County
46845,Fort Wayne,Allen County
46850,Fort Wayne,Allen County
46851,Fort Wayne,Allen County
46852,Fort Wayne,Allen County
46853,Fort Wayne,Allen County
46854,Fort Wayne,Allen County
46855,Fort Wayne,Allen County
46856,Fort Wayne,Allen County
46857,Fort Wayne,Allen County
46858,Fort Wayne,Allen County
46859,Fort Wayne,Allen County
46860,Fort Wayne,Allen County
46861,Fort Wayne,Allen County
46862,Fort Wayne,Allen County
46863,Fort Wayne,Allen County
46864,Fort Wayne,Allen County
46865,Fort Wayne,Allen County
46866,Fort Wayne,Allen County
46867,Fort Wayne,Allen County
46868,Fort Wayne,Allen County
46869,Fort Wayne,Allen County
46885,Fort Wayne,Allen County
46895,Fort Wayne,Allen County
46896,Fort Wayne,Allen County
46897,Fort Wayne,Allen County
46898,Fort Wayne,Allen County
46899,Fort Wayne,Allen County
46901,Kokomo,Howard County
46902,Kokomo,Howard County
46903,Kokomo,Howard County
46904,Kokomo,Howard County
46910,Akron,Fulton County
46911,Amboy,Miami County
46912,Athens,Fulton County
46913,Bringhurst,Carroll County
46914,Bunker Hill,Miami County
46915,Burlington,Carroll County
46916,Burrows,Carroll County
46917,Camden,Carroll County
46919,Converse,Miami County
46920,Cutler,Carroll County
46921,Deedsville,Miami County
46922,Delong,Fulton County
46923,Delphi,Carroll County
46926,Denver,Miami County
46928,Fairmount,Grant County
46929,Flora,Carroll County
46930,Fowlerton,Grant County
46931,Fulton,Fulton County
46932,Galveston,Cass County
46933,Gas City,Grant County
46935,Grass Creek,Fulton County
46936,Greentown,Howard County
46937,Hemlock,Howard County
46938,Jonesboro,Grant County
46939,Kewanna,Fulton County
46940,La Fontaine,Wabash County
46941,Lagro,Wabash County
46942,Lake Cicott,Cass County
46943,Laketon,Wabash County
46945,Leiters Ford,Fulton County
46946,Liberty Mills,Wabash County
46947,Logansport,Cass County
46950,Lucerne,Cass County
46951,Macy,Miami County
46952,Marion,Grant County
46953,Marion,Grant County
46957,Matthews,Grant County
46958,Mexico,Miami County
46959,Miami,Miami County
46960,Monterey,Pulaski County
46961,New Waverly,Cass County
46962,North Manchester,Wabash County
46965,Oakford,Howard County
46967,Onward,Cass County
46968,Ora,Starke County
46970,Peru,Miami County
46971,Grissom Arb,Miami County
46974,Roann,Wabash County
46975,Rochester,Fulton County
46977,Rockfield,Carroll County
46978,Royal Center,Cass County
46979,Russiaville,Howard County
46980,Servia,Wabash County
46982,Silver Lake,Kosciusko County
46984,Somerset,Wabash County
46985,Star City,Pulaski County
46986,Swayzee,Grant County
46987,Sweetser,Grant County
46988,Twelve Mile,Cass County
46989,Upland,Grant County
46990,Urbana,Wabash County
46991,Van Buren,Grant County
46992,Wabash,Wabash County
46994,Walton,Cass County
46995,West Middleton,Howard County
46996,Winamac,Pulaski County
46998,Young America,Cass County
47001,Aurora,Dearborn County
47003,West College Corner,Union County
47006,Batesville,Ripley County
47010,Bath,Franklin County
47011,Bennington,Switzerland County
47012,Brookville,Franklin County
47016,Cedar Grove,Franklin County
